depth,min,max,median,mean,Acer rubrum,Alnus,Ambrosia-type,Angiospermae undiff. (herbs),Apiaceae,Asteroideae undiff.,Betula,Carya,Castanea,Cyperaceae,Dryopteris-type,Fagus,Juglans nigra,Myriophyllum,Nyssa,Osmunda,Pinus,Plantago,Poaceae,Polygonum sensu lato,Quercus,Rubiaceae,Tilia,Tsuga,Ulmus,Unknown,Fraxinus nigra-type,Ostrya/Carpinus,Picea,Pteridium-type,Acer saccharum-type,Myrica,Nuphar,Sparganium-type,Artemisia,Liquidambar,Iva annua-type,Populus,Sagittaria,Platanus,Lemnoideae,Polypodiophyta undiff.,Potamogetonaceae,Corylus,Juglans cinerea,Rhamnaceae,Abies,Cupressaceae,Salix,Caprifoliaceae sensu lato,Ilex,Lycopodium-type,Thalictrum,Typha latifolia,Menyanthes trifoliata,Ranunculus,Anacardiaceae,Lamiaceae,Potentilla-type,Sanguisorba,Brasenia schreberi,Cornus,Isoëtes,Brassicaceae,Rumex,Larix,Selaginella,Shepherdia,Polygonaceae undiff.,Caryophyllaceae,Cichorioideae,Onagraceae,Spermatophyta undiff. (shrubs),Ericaceae,Campanulaceae,Amaranthaceae
600,16320,17775,17217,17180,0,0.423728814,0.282485876,0,0.282485876,0.141242938,0.706214689,0,0,2.542372881,0.141242938,0,0,0,0,0,8.474576271,0,2.824858757,0,1.129943503,0,0,0,0,0.141242938,0,0,22.59887006,0,0,0,0,0,0.282485876,0,0,0,0,0,0,0.141242938,0,0,0,0,0.141242938,0,0,0,0,0,0.141242938,0,0,0.141242938,0,0,0,1.694915254,0,0,57.62711864,0,0,0,0,0,0,0,0,0,0,0.141242938,0,0
620,16421,17891,17333,17293,0,0.821917808,0,0,0,0.684931507,0.547945205,0.136986301,0,4.109589041,0,0,0,0,0,0,8.082191781,0,1.917808219,0,0.547945205,0,0,0,0,0.136986301,0.136986301,0.136986301,22.32876712,0,0,0.136986301,0,0,0.136986301,0,0,0,0,0,0,0,0,0,0,0,0.136986301,0,0.136986301,0,0,0,0.273972603,0,0,0,0,0,0,0.410958904,0,0,58.90410959,0,0,0,0,0,0.136986301,0.136986301,0,0,0,0,0,0
640,16525,17996,17451,17404,0,0.693240901,0,0,0,0,0.519930676,0,0,2.59965338,0,0,0,0,0,0,11.78509532,0,2.772963605,0,0,0,0,0,0,0.173310225,0,0,31.71577123,0,0,0,0,0,0.173310225,0,0,0,0,0,0,0.173310225,0,0,0,0,0,0,0,0,0,0,0.346620451,0,0,0.173310225,0,0,0,1.039861352,0,0,47.83362218,0,0,0,0,0,0,0,0,0,0,0,0,0
660,16624,18103,17561,17514,0,0,0,0,0,0.444444444,1.111111111,0.222222222,0,2.222222222,0,0,0,0,0,0,12.66666667,0,0.888888889,0,0.666666667,0,0,0,0,0.222222222,0,0,45.33333333,0.222222222,0,0,0,0,0.666666667,0,0,0,0.222222222,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0.222222222,0,0.222222222,0,0,0,0.444444444,0.666666667,0,0,32.88888889,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0
680,16722,18213,17672,17625,0,0.502512563,0.251256281,0,0,2.010050251,2.010050251,0,0,4.522613065,0,0,0,0,0,0,15.32663317,0,2.763819095,0,2.010050251,0,0,0,0,0,0,0,42.21105528,0,0,0,0,0,0.251256281,0,0,0,0,0,0,0.251256281,0,0,0,0,0,0,0.251256281,0,0,0,0.251256281,0,0,0,0,0,0,1.256281407,0,0,24.87437186,0,0,0.251256281,0.502512563,0,0,0,0.251256281,0,0,0,0.251256281,0
700,16834,18329,17791,17736,0,1.515151515,0,0,0,1.212121212,2.424242424,0,0,5.151515152,0.303030303,0,0,0,0,0,16.06060606,0,3.939393939,0,2.121212121,0,0,0,0,0,0,0,53.63636364,0,0,0,0,0,1.212121212,0,0,0,0,0,0,0.303030303,0,0,0,0,0,0,0.303030303,0,0,0,1.212121212,0,0,0,0,0,0,0.606060606,0,0,9.090909091,0,0,0.303030303,0.303030303,0,0,0.303030303,0,0,0,0,0,0
710,16881,18385,17851,17792,0,0.323624595,0,0,0,1.294498382,2.265372168,0,0.323624595,5.177993528,0,0.323624595,0,0,0,0,24.91909385,0,2.265372168,0,2.265372168,0,0,0,0,0,0,0.647249191,53.07443366,0,0,0,0,0.323624595,0.970873786,0,0,0,0,0,0,0,0,0,0.323624595,0,0,0.323624595,0.970873786,0,0,0,0.970873786,0,0,0,0,0,0.323624595,0,0,0,2.265372168,0,0,0,0,0,0,0.323624595,0,0,0,0,0,0.323624595
720,16938,18439,17909,17848,0,0,0,0,0,2.649006623,9.271523179,0,0,10.26490066,0,0,0,0,0,0,38.0794702,0,4.304635762,0,0,0,0,0,0,0.662251656,0,0,29.8013245,0,0,0,0,0.331125828,2.317880795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662251656,0,0,0,0.662251656,0,0,0,0,0,0,0,0,0,0.331125828,0,0,0,0,0.331125828,0,0.331125828,0,0,0,0,0,0
740,17033,18547,18008,17948,0,0.662251656,0,0,0,0.662251656,32.78145695,0,0,10.92715232,0,0,0,0,0,0,27.81456954,0,3.973509934,0,0.331125828,0,0,0,0,0.331125828,0.331125828,0,15.23178808,0,0,0,0,0,1.324503311,0,0,0,0,0,0,0,0,0,0,0,1.655629139,0,1.655629139,0,0,0,0.993377483,0,0,0,0,0,0,0,0,0,0.662251656,0,0,0,0.331125828,0,0,0.331125828,0,0,0,0,0,0
760,17128,18658,18107,18050,0,0,0.662251656,0,0,0.993377483,4.966887417,0.331125828,0,4.304635762,0,0,0,0,0,0,46.68874172,0,3.311258278,0,0.993377483,0,0,0,0,0,0,0.331125828,33.11258278,0,0,0,0,0,0.662251656,0,0,0.331125828,0,0,0,0,0,0,0,0,0.993377483,0,0.331125828,0,0,0.331125828,0.662251656,0,0,0,0,0,0,0,0,0,0.331125828,0,0,0,0,0,0,0.331125828,0,0,0,0.331125828,0,0
780,17225,18757,18207,18151,0,0,0,0,0,0,8.361204013,0,0,4.013377926,0,0,0,0,0,0,26.75585284,0,2.675585284,0,1.003344482,0,0,0,0,0,0,0,53.17725753,0,0,0,0,0,0.668896321,0,0,0,0,0,0,0,0,0,0,0,1.672240803,0,0.334448161,0,0,0,0.668896321,0,0,0,0,0,0,0.334448161,0,0,0,0,0,0,0,0,0,0.334448161,0,0,0,0,0,0
800,17326,18862,18305,18252,0,0.666666667,0.333333333,0,0,0,1.333333333,0,0,5.333333333,0,0,0,0,0,0,53.66666667,0,1.333333333,0,0,0,0,0,0,0,0,0,34.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,1.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0
