Core Depth,depth_adj,sed_rate (years/ 1 cm),age_extrapolated,unit_desc_long,unit_desc,Sect Depth,mag_sus,nat_gam,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Zr,Mo,Ag,Cd,Sn,Sb,W,Pb,Bi,LE,Mg,Al,Si,P,S,Cl,K,Ca
0.74,0.44,352,18951,O/B sandy,OB,74,16.9,33.8,3101.96,299.66,81.73,144.64,15020.8,0,0,0,27.25,0,242.69,0,171.07,214.36,231.36,356.55,0,5.61,0,849696.69,15548.62,4377.23,42518.26,0,0,56264.81,9689.81,2006.93
0.76,0.46,352,19656,O/B sandy,OB,76,19.3,35.9,3265.11,252.08,136.04,165.62,15011.2,0,24.56,0,30.39,0,241.12,0,165.32,225.68,242.97,389.49,0,8.31,0,865094.55,0,6322.41,57493.95,0,0,37966.99,10955.78,2008.44
0.78,0.48,352,20361,O/B sandy,OB,78,19.4,35.7,3227.96,159.26,0,117.74,13517.18,0,18.6,0,24.54,0,261.77,0,167.05,215.23,228.87,344.06,0,0,0,859742.75,9337.9,5570.68,54974.62,115.86,0,40662.07,9574.01,1739.85
0.8,0.5,352,21066,O/B sandy,OB,80,15.8,34.3,3457.49,294.93,59.45,84.06,14480.24,0,26.9,0,20.69,0,271.19,0,153.14,196.52,228.29,352.05,0,0,0,862655.06,0,6566.71,62151.34,110.19,0,36774.93,10351.97,1764.88
,,,,periglacial,SO,,,,3701,154.4,99.7,205.7,27458.3,,0,21.3,35.6,0,343.3,,138.7,217.4,178.6,269.8,,5.8,16.1,834625.2,0,2712.4,20835.6,146.6,,,12723.8,1530.9
,,,,periglacial,SO,,,,3493.9,261.7,62.4,411.8,33395,,0,0,41.9,0,321.3,,151.6,223.7,204,282.7,,5.4,17.3,816752.2,0,2328.9,20054,112.8,,,15540.8,1271.7
,,,,periglacial,SO,,,,3097.7,281.1,60.3,200,26982.9,,0,98.8,38.2,0,240.9,,142.3,224.2,183.3,250.6,,5.1,0,840870.3,13797,2245.7,20872.7,132.7,,,10505.4,1198.9
,,,,periglacial,SO,,,,3425.6,328.2,79.3,92.1,31962.5,,0,114.3,51.4,0,260.3,,151.3,227.6,208.1,264.2,,0,18.1,840472.6,0,2782.3,19826.2,0,,,12762.6,1080.7
,,,,periglacial,SO,,,,3086.3,210.8,78,113.7,23496,,37.9,44.7,33.4,0,272.8,,129.1,212.5,174.4,232.6,,6.7,15.4,862025.9,0,2209.4,20948.5,192.9,,,10499.9,1250.5
,,,,saprolite,BR,,,,3125.8,234.7,77.8,314,39488.5,,19.7,57.7,42.5,0,223.4,,147.2,204.1,190.7,279.5,,6.3,17.1,819795,0,3206.6,19778.3,203,,,13643.2,1214
,,,,saprolite,BR,,,,3109,356.5,61.8,576.8,35448.1,,29.1,35.3,44.9,0,240.9,,174.4,228.9,236,317.8,,6.6,15.5,850096.2,0,3108.1,23496.1,153.2,,,13365.6,1202.9
,,,,saprolite,BR,,,,3380.4,166.2,90.8,735.2,33495.8,,0,51.8,41.6,0,264.8,,137.2,198.1,183.3,286.8,,0,0,842975,0,2268.9,20693,212.3,,,12264.5,1156
,,,,saprolite,BR,,,,2670.4,253.7,64.6,742.1,31305.1,,35.9,35.7,38.7,0,147.8,,152.2,209.7,201.2,294.3,,0,0,823081.4,12639.8,3526.1,22608.9,206.7,,,11854.4,1177.9
,,,,saprolite,BR,,,,3516,317.1,0,288.4,32575.9,,0,16,30,0,185.7,,140.2,211.4,190.3,261.1,,0,0,817023.9,0,3672.6,22472.2,144.9,,,14025.3,1158.2
,,,,saprolite,BR,,,,4019.3,253.5,70.1,570.6,32243.4,,25,29.1,36.8,0,214.1,,152.6,204.8,190.5,278.6,,0,0,850096.3,0,1590.3,21672.9,227.6,,,11308.4,1202.3
,,,,saprolite,BR,,,,2529,178,66.2,505.8,26309.3,,33.4,16.6,56.3,0,182.8,,168,196.7,202.9,296.9,,0,13.7,833403,0,1763.9,23455.6,0,,,13366.4,1186.3
